學校名稱,在學學生數小計,在學學生數男,在學學生數女,在學學生數男比例,在學學生數女比例
國立臺南護理專科學校,9695,756,8939,8%,92%
耕莘健康管理專科學校,24311,2373,21938,10%,90%
長庚學校財團法人長庚科技大學,32514,3179,29335,10%,90%
育英醫護管理專科學校,9892,1048,8844,11%,89%
敏惠醫護管理專科學校,19472,2410,17062,12%,88%
崇仁醫護管理專科學校,16727,2126,14601,13%,87%
新生醫護管理專科學校,30232,3783,26449,13%,87%
馬偕學校財團法人馬偕醫護管理專科學校,20983,3003,17980,14%,86%
國立臺北護理健康大學,26254,4718,21536,18%,82%
聖母醫護管理專科學校,12592,2629,9963,21%,79%
慈惠醫護管理專科學校,22422,5249,17173,23%,77%
仁德醫護管理專科學校,32360,7641,24719,24%,76%
慈濟學校財團法人慈濟科技大學,15498,3842,11656,25%,75%
文藻學校財團法人文藻外語大學,45872,11680,34192,25%,75%
樹人醫護管理專科學校,36116,9211,26905,26%,74%
輔英科技大學,47758,12927,34831,27%,73%
康寧學校財團法人康寧大學,19658,5441,14217,28%,72%
高美醫護管理專科學校,590,170,420,29%,71%
經國管理暨健康學院,21245,6206,15039,29%,71%
美和學校財團法人美和科技大學,35665,10669,24996,30%,70%
國立臺北商業大學,37403,11251,26152,30%,70%
國立臺中科技大學,78164,23132,55032,30%,70%
台南家專學校財團法人台南應用科技大學,62257,18413,43844,30%,70%
法鼓學校財團法人法鼓文理學院,1483,455,1028,31%,69%
國立高雄餐旅大學,25227,7748,17479,31%,69%
亞太學校財團法人亞太創意技術學院,894,278,616,31%,69%
致理學校財團法人致理科技大學,57572,18432,39140,32%,68%
中華醫事科技大學,44627,14450,30177,32%,68%
國立臺灣藝術大學,28157,8890,19267,32%,68%
國立臺北教育大學,29235,9363,19872,32%,68%
實踐大學,68212,22458,45754,33%,67%
唯心聖教學院,15,5,10,33%,67%
國立臺中教育大學,24808,8352,16456,34%,66%
弘光科技大學,64075,21899,42176,34%,66%
國立臺南藝術大學,7966,2695,5271,34%,66%
國立臺灣戲曲學院,2903,1008,1895,35%,65%
中臺科技大學,41868,14495,27373,35%,65%
國立臺北藝術大學,15508,5612,9896,36%,64%
馬偕學校財團法人馬偕醫學院,3775,1341,2434,36%,64%
中山醫學大學,35131,13106,22025,37%,63%
台灣基督長老教會南神神學院,262,100,162,38%,62%
慈濟學校財團法人慈濟大學,17012,6501,10511,38%,62%
世新大學,57357,21531,35826,38%,62%
靜宜大學,60591,23314,37277,38%,62%
亞洲大學,58443,22407,36036,38%,62%
台神學校財團法人台灣神學研究學院,481,185,296,38%,62%
東吳大學,77791,31214,46577,40%,60%
臺北市立大學,39358,15918,23440,40%,60%
銘傳大學,94479,37596,56883,40%,60%
大同技術學院,7492,3049,4443,41%,59%
國立屏東大學,45060,18251,26809,41%,59%
輔仁大學,130313,53928,76385,41%,59%
高雄醫學大學,33188,13995,19193,42%,58%
國立臺灣師範大學,78808,33337,45471,42%,58%
嘉藥學校財團法人嘉南藥理大學,66881,28318,38563,42%,58%
臺北醫學大學,30328,12610,17718,42%,58%
嶺東科技大學,51877,21933,29944,42%,58%
玄奘大學,15387,6424,8963,42%,58%
德明財經科技大學,39324,16437,22887,42%,58%
財團法人一貫道天皇基金會一貫道天皇學院,699,300,399,43%,57%
醒吾學校財團法人醒吾科技大學,41362,17680,23682,43%,57%
國立高雄師範大學,34014,14727,19287,43%,57%
樹德科技大學,53345,23707,29638,44%,56%
一貫道崇德學院,279,124,155,44%,56%
中華福音神學研究學院,18,8,10,44%,56%
中國醫藥大學,36551,16062,20489,44%,56%
國立政治大學,81547,36109,45438,44%,56%
光宇學校財團法人元培醫事科技大學,31010,13667,17343,44%,56%
國立臺南大學,28816,12849,15967,45%,55%
大仁科技大學,29218,13110,16108,45%,55%
臺北基督學院,425,192,233,45%,55%
朝陽科技大學,76473,34349,42124,45%,55%
國立臺北大學,50046,22691,27355,45%,55%
長榮大學,43645,19700,23945,45%,55%
佛光大學,17768,8176,9592,46%,54%
臺灣觀光學院,2523,1163,1360,46%,54%
東海大學,79837,36500,43337,46%,54%
國立臺東大學,24000,10995,13005,46%,54%
景文科技大學,34175,15877,18298,46%,54%
僑光科技大學,53333,24964,28369,47%,53%
國立暨南國際大學,30927,14405,16522,47%,53%
崇右學校財團法人崇右影藝科技大學,13586,6367,7219,47%,53%
南華大學,28361,13334,15027,47%,53%
環球學校財團法人環球科技大學,21581,10045,11536,47%,53%
中國科技大學,50109,23681,26428,47%,53%
稻江科技暨管理學院,6732,3216,3516,48%,52%
國立東華大學,50248,24348,25900,48%,52%
廣亞學校財團法人育達科技大學,21393,10348,11045,48%,52%
真理大學,28829,14249,14580,49%,51%
中國文化大學,125587,61008,64579,49%,51%
學校財團法人中華浸信會基督教台灣浸會神學院,191,95,96,50%,50%
開南大學,30584,15375,15209,50%,50%
東方學校財團法人東方設計大學,13192,6532,6660,50%,50%
國立陽明大學,17536,8844,8692,50%,50%
長庚大學,34814,17842,16972,51%,49%
國立彰化師範大學,41865,21413,20452,51%,49%
淡江大學學校財團法人淡江大學,124753,65022,59731,52%,48%
台灣首府學校財團法人台灣首府大學,8404,4329,4075,52%,48%
華梵大學,7964,4175,3789,52%,48%
國立嘉義大學,59997,31017,28980,52%,48%
中州學校財團法人中州科技大學,14628,7651,6977,52%,48%
義守大學,74984,39700,35284,53%,47%
大葉大學,45169,23889,21280,53%,47%
萬能學校財團法人萬能科技大學,49906,27013,22893,54%,46%
中信學校財團法人中信金融管理學院,3608,1951,1657,54%,46%
國立金門大學,21537,11600,9937,54%,46%
國立屏東科技大學,54677,30048,24629,55%,45%
中原大學,81682,44951,36731,55%,45%
國立高雄第一科技大學,7804,4264,3540,55%,45%
國立中正大學,56385,31524,24861,56%,44%
黎明技術學院,25006,14372,10634,57%,43%
台北海洋學校財團法人台北海洋科技大學,23084,13091,9993,57%,43%
國立清華大學,84404,48249,36155,57%,43%
